benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
[0. 0. 0. 0. 0.],[ 5.  0.  0.  0. 19.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[3. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 0.  9. 14.  0.  0.]
[4. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[3. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[2. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[1. 0. 8. 0. 0.],[17.  0.  0. 17.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 0.  0. 19.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[2. 0. 0. 0. 0.],[3. 8. 0. 0. 0.]
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 0.  0. 13.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[18.  0.  0.  0.  0.]
[0. 3. 0. 0. 0.],[ 3. 19.  0.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[3. 3. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[4. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[ 0. 11.  0.  0.  0.],[0. 0. 0. 0. 0.],[2. 2. 2. 0. 0.],[1. 0. 1. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 2. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[19. 19.  0.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 4.  4. 11.  0.  0.],[0. 0. 2. 0. 0.],[0. 0. 0. 0. 0.]
[1. 1. 0. 0. 0.],[0. 0. 0. 0. 0.],[1. 1. 0. 0. 0.],[9. 9. 9. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[1. 1. 1. 0. 0.],[2. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 5. 5. 0. 0.],[2. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[1. 0. 0. 0. 0.],[3. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[ 0.  0. 19. 19.  1.],[0. 3. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[5. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 1.  0. 19.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 3. 3. 0. 0.],[19. 19. 19.  0.  0.],[0. 0. 0. 6. 0.],[ 0. 19.  0.  0.  0.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[2. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[12.  0.  0.  0.  0.],[0. 0. 0. 0. 0.],[1. 1. 1. 0. 0.]
[2. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 0.  0. 19.  0.  0.],[0. 0. 0. 0. 0.],[3. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[4. 0. 0. 0. 0.],[ 6. 10.  0.  0.  0.],[0. 0. 0. 9. 0.],[1. 1. 6. 0. 0.]
[0. 0. 0. 0. 0.],[0. 1. 1. 1. 1.],[1. 0. 0. 0. 0.],[5. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 0.  0.  3. 10.  0.],[0. 0. 0. 0. 0.],[0. 0. 2. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[3. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 0.  0. 15.  0.  0.],[4. 4. 0. 0. 0.],[5. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[17.  0.  0.  0.  0.],[0. 0. 0. 0. 0.]
[2. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[1. 1. 0. 0. 0.],[4. 9. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[19. 19.  0.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[3. 3. 0. 0. 0.],[0. 0. 0. 0. 3.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[1. 1. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 0. 7. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 1.  0. 19.  0.  0.],[2. 0. 0. 0. 0.],[3. 7. 0. 0. 0.],[1. 0. 0. 0. 0.],[4. 4. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 7.  7. 14.  0.  0.],[4. 4. 0. 0. 0.]
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 2.],[1. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 1.  0.  0. 19.  0.],[0. 0. 0. 0. 0.],[0. 0. 6. 0. 0.],[6. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 2. 0. 0. 0.],[0. 0. 0. 0. 0.],[3. 0. 0. 0. 0.],[5. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.],[19.  0.  0.  0.  0.],[0. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[0. 0. 3. 2. 0.],[0. 0. 0. 0. 0.],[6. 6. 6. 0. 0.],[0. 0. 0. 0. 0.],[0. 5. 0. 7. 0.],[3. 2. 2. 0. 0.],[1. 0. 0. 0. 0.]
